email,name,brand,branch,report,department
tbl-khairan@swishhh.net,Tabel Khairan,TBL,KHR,Tomorrow's prep list,Branches
tbl-mahboula@swishhh.net,Tabel Mahboula,TBL,MHB,Tomorrow's prep list,Branches
tbl-qurtoba@swishhh.net,Tabel Qurtoba,TBL,QTB,Tomorrow's prep list,Branches
tbl-salmiya@swishhh.net,Tabel Salmiya,TBL,SAL,Tomorrow's prep list,Branches
tbl-sabahalsalem@swishhh.net,Tabel Sabah Al Salem,TBL,SBS,Tomorrow's prep list,Branches
yeloadailiya@swishhh.net,Yelo Adailiya,YP,ADL,Tomorrow's prep list,Branches
yeloegaila@swishhh.net,Yelo Egaila,YP,AGL,Tomorrow's prep list,Branches
yelo-andalous@swishhh.net,Yelo Andalous,YP,AND,Tomorrow's prep list,Branches
yeloardiya@swishhh.net,Yelo Ardiya,YP,ARD,Tomorrow's prep list,Branches
yp-bayan@swishhh.net,Yelo Bayan,YP,BYN,Tomorrow's prep list,Branches
yelodahiya@swishhh.net,Yelo Dahiya,YP,DHY,Tomorrow's prep list,Branches
Yelo-fahaheel@swishhh.net,Yelo Fahaheel,YP,FAH,Tomorrow's prep list,Branches
yelo-jaber@swishhh.net,Yelo Jaber Al Ahmad,YP,JAD,Tomorrow's prep list,Branches
yelo-jab@swishhh.net,Yelo Jabriya,YP,JBR,Tomorrow's prep list,Branches
Yelojahra@swishhh.net,Yelo Jahra,YP,JHR,Tomorrow's prep list,Branches
yelo-jleeb@swishhh.net,Yelo Jleeb,YP,JLB,Tomorrow's prep list,Branches
yelo-khairan@swishhh.net,Yelo Khairan,YP,KHR,Tomorrow's prep list,Branches
Yelo-hawally@swishhh.net,Yelo Maidan Hawally,YP,MID,Tomorrow's prep list,Branches
yelo-qurain@swishhh.net,Yelo Qurain,YP,QRN,Tomorrow's prep list,Branches
yeloqortuba@swishhh.net,Yelo Qurtoba,YP,QTB,Tomorrow's prep list,Branches
yp-saad@swishhh.net,Yelo Saad Abdallah,YP,SAD,Tomorrow's prep list,Branches
yelo-salmiya@swishhh.net,Yelo Salmiya,YP,SAL,Tomorrow's prep list,Branches
Yelo-sabahalahmed@swishhh.net,Yelo Sabah Al Ahmad,YP,SBA,Tomorrow's prep list,Branches
yelo-sabah@swishhh.net,Yelo Sabah Al Salem,YP,SBS,Tomorrow's prep list,Branches
yelosalwa@swishhh.net,Yelo Salwa,YP,SLW,Tomorrow's prep list,Branches
yelo-vibes@swishhh.net,Yelo Vibes,YP,VIB,Tomorrow's prep list,Branches
yelo-zahra@swishhh.net,Yelo Zahra,YP,ZAH,Tomorrow's prep list,Branches
